"CODE","POLITICS","POPULATION","AGE25_PROPTN","AGE_MEDIAN","AGE50_PROPTN","POP_DENSITY","GDP","INFANT_MORT","DOCS","VAX_RATE","HEALTHCARE_BASIS","HEALTHCARE_COST","DEATH_RATE","OBS_TYPE"
"State1","UNSTABLE DEM",1547.25684081277,NA,34.1653726349352,41.5008242832461,NA,NA,13.7906413992984,23.4542814473459,62.2353982234586,"INSURANCE",5157.2004552833,21.3823781386783,"Train"
"State2","UNSTABLE DEM",4715.45073725475,12.4229500126405,31.3891216037649,38.3480577829066,498.680218104044,56.9292927821924,15.6848611825014,22.4564946265031,59.5483909254248,"INSURANCE",5174.59989063418,19.1836305221461,"Train"
"State3","STABLE DEM",NA,16.2017176078147,35.5123324198899,39.333867341741,503.386429644443,NA,13.6130160264685,22.142229279166,NA,"FREE",NA,22.5439177992536,"Test"
"State4","STABLE DEM",2975.00910738684,18.9496412060843,NA,40.7780868785216,496.685567693095,53.8924304060751,12.7868888155802,22.2636758864633,68.8482640798144,"INSURANCE",5352.74709289043,14.6353021083544,"Train"
"State5","UNSTABLE DEM",NA,15.5398951058844,NA,NA,501.273212420306,58.4323216407212,15.3797029315012,23.7501293306152,NA,"PRIVATE",14812.4677485211,19.4399561311198,"Test"
"State6","UNSTABLE DEM",NA,13.8198411418816,33.2986178711905,39.637292876337,NA,54.3648130238219,15.8170913354968,20.804468096759,NA,"INSURANCE",4934.61065778297,20.3412425530799,"Train"
"State7","UNSTABLE DEM",5322.90479974091,NA,NA,NA,510.137355461202,47.7414787682462,11.0757889465653,25.7699799702316,NA,"INSURANCE",5003.24121541124,25.1875433376701,"Test"
"State8","UNSTABLE DEM",NA,14.0375580338671,30.4338807408229,39.1895382192557,515.446749910827,NA,13.1756336405702,19.9191025798069,NA,"INSURANCE",4989.10386927697,24.355219048291,"Test"
"State9","--",NA,NA,NA,41.9892594952981,513.12314988606,NA,NA,22.7177808492055,63.0072572297596,"PRIVATE",14966.5364796713,27.484778722908,"Train"
"State10","UNSTABLE DEM",4900.89836427094,9.82522486389215,31.1774866965587,37.463613696756,489.912933147284,52.494812471887,15.6167981534804,22.2348741957053,61.8597735765174,"INSURANCE",4828.91498400611,12.345036020882,"Train"
"State11","STABLE DEM",2539.71663634474,16.5376449323256,NA,41.9153524933344,498.349551380456,64.0674241241548,13.7424173766683,21.2913965691969,62.5668102103464,"PRIVATE",15148.3527324596,16.5203729841793,"Train"
"State12","UNSTABLE DEM",NA,11.7108781257698,30.4555005916227,34.3107241123875,507.966497393376,NA,12.5809027648221,22.7611764028265,NA,"PRIVATE",15809.9210133634,20.209104554673,"Train"
"State13","STABLE DEM",5141.45252738791,NA,NA,40.9181579514776,NA,NA,15.0357827782434,22.8970721618401,11,"INSURANCE",4802.01306725743,34.3570743661307,"Test"
"State14","STABLE DEM",1509.0993533294,15.4947825390615,NA,38.0252724138108,502.933259081109,NA,NA,23.2644106858836,NA,"PRIVATE",15218.269048943,26.2988660013879,"Train"
